Title,Author,Year,URL
"[CITATION][C]Exploring theimpactofchat-GPTon teacher professional development: opportunities, challenges, andimplications","GK Ming,M Mansor- … Journal of Research inEducationand Social Sciences, 2023",N/A,https://scholar.google.com/citations?user=PsjcchIAAAAJ&hl=en&oi=sra
Examining students' attitudes and intentions towards usingChatGPTin highereducation,"MZU Haq,G Cao,RMY Abukhait- … Journal ofEducational…, 2025",N/A,https://bera-journals.onlinelibrary.wiley.com/doi/abs/10.1111/bjet.13582
AIChatGPTand student engagement: Unraveling dimensions through PRISMA analysis for enhancedlearningexperiences,"OA Khurma, F Albahti,N Ali, A Bustanji - ContemporaryEducational…, 2024",N/A,https://www.cedtech.net/article/ai-chatgpt-and-student-engagement-unraveling-dimensions-through-prisma-analysis-for-enhanced-14334
Testing creativity ofChatGPTinpsychology: Interview withChatGPT,"K Uludag- Chatbots andMentalHealthcare inPsychologyand …, 2025",N/A,https://www.igi-global.com/chapter/testing-creativity-of-chatgpt-in-psychology/371644
"Exploring user perspectives onchatgpt: Applications, perceptions, andimplicationsfor ai-integratededucation","RH Mogavi, C Deng,JJ Kim,P Zhou,YD Kwon… - arXiv preprint arXiv …, 2023",N/A,https://arxiv.org/abs/2305.13114
Generative AI andChatGPT impacton technostress of teachers,"X Huo,KL Siau- 2023",N/A,https://aisel.aisnet.org/pacis2023/126/
ChatGPTandmentalhealth: Friends or foes?,"KT Kalam, JM Rahman,MR Islam… - Health Science …, 2024",N/A,https://onlinelibrary.wiley.com/doi/abs/10.1002/hsr2.1912
[PDF][PDF]EffectofChat GPTon the digitizedlearningprocess of university students,"AGR Castillo, GJS Silva, JPF Arocutipa… - Journal of Namibian …, 2023",N/A,https://www.academia.edu/download/105415608/278.pdf
ChatGPTis a breakthrough in science andeducationbut fails a test in sports and exercisepsychology,"A Szabo - Baltic Journal of Sport and Health Sciences, 2023",N/A,https://journals.lsu.lt/baltic-journal-of-sport-health/article/view/1341
The application and challenges ofChatGPTineducationaltransformation: New demands for teachers' roles,"H Yu - Heliyon, 2024",N/A,https://www.cell.com/heliyon/fulltext/S2405-8440(24)00320-7
Ethicalimplicationsof usingChatGPTineducationalenvironments: A comprehensive review,"A Almarzouqi,A Aburayya,R Alfaisal… - … intelligence ineducation…, 2024",N/A,https://link.springer.com/chapter/10.1007/978-3-031-52280-2_13
"[HTML][HTML]Examining theeffectofChatGPTusage on students'academic learningand achievement: A survey-based study in Ajman, UAE","E Youssef, M Medhat,S Abdellatif… - Computers andEducation…, 2024",N/A,https://www.sciencedirect.com/science/article/pii/S2666920X2400119X
A conversation withChatGPTabout theimpactof the COVID-19 pandemic oneducation: Comparative review based on human–AI collaboration,"T Karakose,M Demirkol,N Aslan, H Köse… -EducationalProcess …, 2023",N/A,https://www.ceeol.com/search/article-detail?id=1134493
How CanChatGPTFacilitateTeachingandLearning:Implicationsfor ContemporaryEducation.,"T Karakose,T Tülübas-EducationalProcess: International Journal, 2023",N/A,https://www.ceeol.com/search/article-detail?id=1256313
"[PDF][PDF]Understanding theimpactofChatGPTineducation: Exploratory study on students' attitudes, perception and ethics","CL Thong,R Butson,WL Lim- ASCILITE Publications, 2023",N/A,https://www.academia.edu/download/123416219/562.pdf
Validating theChatGPTUsage Scale: psychometric properties and factor structures among postgraduate students,"M Nemt-Allah,W Khalifa,M Badawy, Y Elbably… - BMCpsychology, 2024",N/A,https://link.springer.com/article/10.1186/s40359-024-01983-4
EffectsofChatGPTuse on undergraduate students' creativity: a threat to creative thinking?,"RB Toma, I Yánez-Pérez - Discover Artificial Intelligence, 2024",N/A,https://link.springer.com/article/10.1007/s44163-024-00172-x
"The role ofChatGPTin highereducation: Benefits, challenges, and future research directions","T Rasul,S Nair,D Kalendra… - … andTeaching, 2023",N/A,https://jalt.journals.publicknowledgeproject.org/index.php/jalt/article/view/787
A social media data analysis of general andeducationaluse ofChatGPT: Understandingemotionaleducators,"G Lampropoulos,RE Ferdig… - Available at SSRN …, 2023",N/A,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4468181
[HTML][HTML]Effectsof Large Language Model–Based Offerings on the Well-Being of Students: Qualitative Study,"R Selim, A Basu, A Anto,T Foscht… - JMIR Formative …, 2024",N/A,https://formative.jmir.org/2024/1/e64081
"ChatGPTin class: motivation, schadenfreude and student usage intentions","TM Hickman,M Stoica- Young Consumers, 2025",N/A,https://www.emerald.com/insight/content/doi/10.1108/yc-09-2024-2252/full/html
The ethicalimplicationsofchatgptai chatbot: A review,"TM Tawfeeq, AJ Awqati,YA Jasim- JMCER, 2023",N/A,https://jmcer.org/research/the-ethical-implications-of-chatgpt-ai-chatbot-a-review/
"Exploring theimpactofChatGPTonteachingperformance: findings from SOR theory, SEM and IPMA analysis approach","NA Dahri,N Yahaya,MS Vighio,NF Jumaat-Educationand Information …, 2025",N/A,https://link.springer.com/article/10.1007/s10639-025-13539-z
IsChatGPThelpful for graduate students in acquiring knowledge about digital storytelling and reducing their cognitive load? An experiment,"R Avello,T Gajderowicz… - Revista de Educación a …, 2024",N/A,https://revistas.um.es/red/article/view/604621
[HTML][HTML]Unveiling the e-servicescape ofChatGPT: exploring userpsychologyand engagement in AI-powered chatbot experiences,"M Kim- Behavioral Sciences, 2024",N/A,https://www.mdpi.com/2076-328X/14/7/558
Is it harmful or helpful? Examining the causes andconsequencesof generative AI usage among university students,"M Abbas,FA Jam,TI Khan- … ofeducationaltechnology in highereducation, 2024",N/A,https://link.springer.com/article/10.1186/s41239-024-00444-7
[HTML][HTML]Suicide risk assessments through the eyes ofChatGPT-3.5 versusChatGPT-4: vignette study,"I Levkovich,Z Elyoseph- JMIRmentalhealth, 2023 -mental.jmir.org",N/A,https://mental.jmir.org/2023/1/e51232
ImpactofChatGPTusage on nursing studentseducation: A cross-sectional study,"A Gonzalez-Garcia,D Bermejo-Martinez… - Heliyon, 2025",N/A,https://www.cell.com/heliyon/fulltext/S2405-8440(24)17590-1
Exploring theImpactof UsingChat GPTon Learners' Motivation in the Writing Classroom The Case of Second Year Students at Larbi Tébessi University–Tebessa_,N MABROUK,N/A,http://oldspace.univ-tebessa.dz:8080/xmlui/handle/123456789/12186
[HTML][HTML]DoesChatGPTenhance studentlearning? A systematic review and meta-analysis of experimental studies,"R Deng, M Jiang, X Yu, Y Lu,S Liu- Computers &Education, 2025",N/A,https://www.sciencedirect.com/science/article/pii/S0360131524002380
"…GptDependency Syndrome: Psychometric Analysis of NegativeAcademic, Social, andEmotional Consequencesfor the Students of Management in HigherEducation","N Saif,S Ali, I Shaheen, IU Khan, MU Khan - …Emotional Consequences…",N/A,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4855571
[HTML][HTML]Drivers andconsequencesofChatGPTuse in highereducation: Key stakeholder perspectives,"AM Hasanein,AEE Sobaih- … in health,psychologyandeducation, 2023",N/A,https://www.mdpi.com/2254-9625/13/11/181
ChatGPT: The cognitiveeffectsonlearningand memory,"L Bai, X Liu, J Su - Brain‐X, 2023",N/A,https://onlinelibrary.wiley.com/doi/abs/10.1002/brx2.30
From concerns to benefits: A comprehensive study ofChatGPTusage ineducation,"H Jo - … Journal ofEducationalTechnology in HigherEducation, 2024",N/A,https://link.springer.com/article/10.1186/s41239-024-00471-4
… give a hand to open and distributedlearning? A probe into the state of undergraduate students'academicemotions and test anxiety inlearningviaChatGPT,"S Gao - … Review of Research in Open and DistributedLearning, 2024",N/A,https://www.erudit.org/en/journals/irrodl/2024-v25-n3-irrodl09550/1113497ar/abstract/
[HTML][HTML]What is theimpactofChatGPToneducation? A rapid review of the literature,"CK Lo-Educationsciences, 2023",N/A,https://www.mdpi.com/2227-7102/13/4/410
Promotingemotionalandpsychologicalwell-being in students through a self-helpChatGPTintervention: Artificial intelligence powered support,"ME Alshammari - International Journal of Instruction, 2025",N/A,https://e-iji.net/ats/index.php/pub/article/view/788
"[HTML][HTML]Exploring attitudes towardChatGPTamong college students: An empirical analysis of cognitive, affective, and behavioral components using path analysis","BG Acosta-Enriquez,CGAP Vargas,OH Jordan… - … andEducation: Artificial …, 2024",N/A,https://www.sciencedirect.com/science/article/pii/S2666920X24001231
Students' perception of usingChatGPTin counseling andmentalhealtheducation: The benefits and challenges,"A Ajlouni,A Almahaireh, F Whaba - … Technologies inLearning(iJET …, 2023",N/A,https://www.learntechlib.org/p/223772/?nl=1
"[HTML][HTML]The influence of the COVID-19 pandemic on the adoption andimpactof AIChatGPT: Challenges, applications, and ethicalconsiderations","T Hussain, D Wang, B Li - Acta Psychologica, 2024",N/A,https://www.sciencedirect.com/science/article/pii/S0001691824001410
Educational psychologyin practice: appraising the accuracy ofChatGPT4.0in assessing L2 writing,"D Yao, J Xiong - CurrentPsychology, 2025",N/A,https://link.springer.com/article/10.1007/s12144-025-08014-4
Promoting self-regulation progress and knowledge construction in blendedlearningviaChatGPT-basedlearningaid,"TT Wu,HY Lee,PH Li, CN Huang… - Journal ofEducational…, 2024",N/A,https://journals.sagepub.com/doi/abs/10.1177/07356331231191125
Assessing the effectiveness ofChatGPTin deliveringmentalhealth support: a qualitative study,"F Alanezi- Journal of multidisciplinary healthcare, 2024",N/A,https://www.tandfonline.com/doi/abs/10.2147/JMDH.S447368
TPACK in the age ofChatGPTand Generative AI,"P Mishra,M Warr,R Islam- … DigitalLearningin TeacherEducation, 2023",N/A,https://www.tandfonline.com/doi/abs/10.1080/21532974.2023.2247480
IntegratingChatGPTas aLearningTool: Potential Benefits and CriticalConsiderations,"D Petrassi - Formazione & insegnamento, 2025",N/A,https://ojs.pensamultimedia.it/index.php/siref/article/view/7328
The role andimpactofChatGPTineducationalpractices: insights from an Australian highereducationcase study,"R Sandu,E Gide,M Elkhodr- DiscoverEducation, 2024",N/A,https://link.springer.com/article/10.1007/s44217-024-00126-6
ChatGPTas anacademicsupport tool on theacademicperformance among students: The mediating role oflearningmotivation,"KD Caratiquit, LJC Caratiquit - … of Social, Humanity, andEducation, 2023",N/A,https://www.neliti.com/publications/621101/chatgpt-as-an-academic-support-tool-on-the-academic-performance-among-students-t
[HTML][HTML]The moderatingeffectsof gender and study discipline in the relationship between university students' acceptance and use ofChatGPT,"IA Elshaer,AM Hasanein,AEE Sobaih- … ,PsychologyandEducation, 2024",N/A,https://www.mdpi.com/2254-9625/14/7/132
[PDF][PDF]TheImpactofChatGPTon EFL Medical Track Students' Affective Filter,"AM Almineeai, MA Airashed,TA Hezam… - … LanguageTeaching…, 2025",N/A,https://www.researchgate.net/profile/Jasmine-Mohammed-Hasayen/publication/387638751_The_Adaptation_of_William_Shakespeare's_Othello_in_Nicole_Galland's_I_Iago/links/67ab8ccc461fb56424d6e471/The-Adaptation-of-William-Shakespeares-Othello-in-Nicole-Gallands-I-Iago.pdf#page=162
Investigating the implementation ofChatGPTin English languageeducation:Effectson student motivation and performance levels,"MY Afkarin,CH Asmara- Journey: Journal of English Language …, 2024",N/A,http://ejurnal.uibu.ac.id/index.php/journey/article/view/865
Critical factors for whyChatGPTenhanceslearningengagement and outcomes,"CH Wu,VT Ho-Educationand Information Technologies, 2025",N/A,https://link.springer.com/article/10.1007/s10639-025-13346-6
"Theimpactof students' use ofChatGPTon their research skills: The mediatingeffectsof autonomous motivation, engagement, and self-directedlearning","Y Li,G Sadiq,G Qambar, P Zheng -Educationand Information …, 2025",N/A,https://link.springer.com/article/10.1007/s10639-024-12981-9
[HTML][HTML]Investigating theimpactof user trust on the adoption and use ofChatGPT: survey analysis,"A Choudhury,H Shamszare- Journal of Medical Internet Research, 2023",N/A,https://www.jmir.org/2023/1/e47184/
Students' Attitudes Towards UsingChatGPTas aLearningTool: The Case of the University of Jordan.,"AO Ajlouni,FAA Wahba… - International Journal of …, 2023",N/A,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=18657923&AN=172258768&h=KJExINbe%2B4WkilO3AE4N8Q3uNk70HKkY47t8kw4kw7xdcyyjTBes3hPcvsxNz%2F1%2F9aOnjtqCuoooRdZeUJ2T7A%3D%3D&crl=c
Navigating the Application Challenges ofChatGPTinEducation: Promoting Responsible Use and MinimizingMentalRisks,"W Zhang, Q Zhang, M Cai, D Wang… - …EducationandLearning, 2024",N/A,https://dl.acm.org/doi/abs/10.1145/3675812.3675843
ChatGPTadoption and its influence on faculty well-being: An empirical research in highereducation,"JJ Cambra-Fierro,MF Blasco… -Educationand …, 2025",N/A,https://link.springer.com/article/10.1007/s10639-024-12871-0
[PDF][PDF]Integrating generative AI ineducation: howChatGPTbrings challenges for futurelearningandteaching,"Y Wu- Journal of Advanced Research inEducation, 2023",N/A,https://www.pioneerpublisher.com/jare/article/download/324/286
A systematic literature review of empirical research onChatGPTineducation,"Y Albadarin,M Saqr, N Pope,M Tukiainen- DiscoverEducation, 2024",N/A,https://link.springer.com/article/10.1007/s44217-024-00138-2
Exploring theimpactofChatGPT: conversational AI ineducation,"AM Bettayeb,M Abu Talib… - … inEducation, 2024",N/A,https://www.frontiersin.org/articles/10.3389/feduc.2024.1379796/full
[HTML][HTML]ChatGPTin highereducation:Considerationsforacademicintegrity and studentlearning,"A Kelly,M Sullivan- Journal of appliedlearningandteaching, 2023",N/A,https://www.academia.edu/download/100141561/ChatGPT_in_higher_education_Sullivan_Kelly_and_McLaughlan.pdf
Cheaters or AI-enhanced learners:ConsequencesofChatGPTfor programmingeducation,"N Humble,J Boustedt, H Holmgren… - … of e-Learning, 2024 -academic-publishing.org",N/A,https://academic-publishing.org/index.php/ejel/article/view/3154
Exploring theimpactofChatGPTon Englisheducationdepartment student's motivation and performance,"M Yusfi,CH Asmara- Journal ofTeachingof English, 2023",N/A,https://jte.uho.ac.id/index.php/journal/article/view/380
"[HTML][HTML]ChatGPTutility in healthcareeducation, research, and practice: systematic review on the promising perspectives and valid concerns","M Sallam- Healthcare, 2023",N/A,https://www.mdpi.com/2227-9032/11/6/887
LearningbyteachingwithChatGPT: Theeffectof teachableChatGPTagent on programmingeducation,"A Chen,Y Wei,H Le, Y Zhang - British Journal ofEducational…, 2024",N/A,https://bera-journals.onlinelibrary.wiley.com/doi/abs/10.1111/bjet.70001
App-hazard disruption: an empirical investigation of media discourses onChatGPTineducationalcontexts,"K Kikerpill,A Siibak- Computers in the Schools, 2023",N/A,https://www.tandfonline.com/doi/abs/10.1080/07380569.2023.2244941
Exploring students' perceptions ofChatGPT: Thematic analysis and follow-up survey,"A Shoufan- IEEE access, 2023",N/A,https://ieeexplore.ieee.org/abstract/document/10105236/
Unveiling theChatGPT EducationalRevolution: Assessing the DynamicImpacton Students and Educators,"S Ganesan, L Karunarathne… - Journal of Data …, 2025",N/A,https://ojs.bonviewpress.com/index.php/jdsis/article/view/4358
"Tracing
 interpersonal emotion regulation, behavioural emotion regulation 
strategies, hopelessness and vocabulary retention within Bing vs.ChatGPTenvironments","M Wang,S Akhter- BritishEducationalResearch Journal, 2025",N/A,https://bera-journals.onlinelibrary.wiley.com/doi/abs/10.1002/berj.4137
"ChatGPTineducation: Applications, concerns and recommendations","NM Mbwambo, PB Kaaya - Journal of ICT Systems, 2024",N/A,https://jicts.udsm.ac.tz/index.php/udsm/article/view/87
Exploring the integration ofChatGPTineducation: adapting for the future,"S Elbanna,L Armstrong- Management & Sustainability: An Arab …, 2024",N/A,https://www.emerald.com/insight/content/doi/10.1108/msar-03-2023-0016/full/html
TheimpactofChatGPTon highereducation,"J Dempere, K Modugu,A Hesham… - … inEducation, 2023",N/A,https://www.frontiersin.org/journals/education/articles/10.3389/feduc.2023.1206936/full
[PDF][PDF]TheimpactofChatGPTonlearningmotivation: A study based on self-determination theory,"L Zhou, J Li -EducationScience and Management, 2023",N/A,https://library.acadlore.com/ESM/2023/1/1/ESM_01.01_03.pdf
ChatGPTandacademicwork: newpsychologicalphenomena,"J de Winter,PA Hancock,YB Eisma- AI & SOCIETY, 2025",N/A,https://link.springer.com/article/10.1007/s00146-025-02241-w
[HTML][HTML]TheimpactofChatGPTon English foracademicpurposes (EAP) students' languagelearningexperience: A self-determination theory perspective,"J Du,A Alm-Educationsciences, 2024",N/A,https://www.mdpi.com/2227-7102/14/7/726
"ChatGPTusage and attitudes are driven by perceptions of usefulness, ease of use, risks, and psycho-socialimpact: a study among university students in the UAE","M Sallam,W Elsayed,M Al-Shorbagy… - … inEducation, 2024",N/A,https://www.frontiersin.org/journals/education/articles/10.3389/feduc.2024.1414758/full
HowChatGPTtransformed teachers: The role of basicpsychologicalneeds in enhancing digital competence,"J Zhou, L Shen, W Chen - Frontiers inPsychology, 2024",N/A,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1458551/full
